Gammarus lawrencianus
Gammarus locusta
Gammarus mucronatus
Gammarus oceanicus
Gammarus oceanicus 
Gammarus setosus
Gammarus wilkitzkii
Gammarus zaddachi
Garveia nutans
Gasterosteus aculeatus
Gastropoda
Gattyana cirrhosa
Geitodoris heathi
Gemma gemma
Genidens barbus
Genolinea laticauda
Gersemia rubiformis
Geukensia demissa
Gibbula magus
Girella tricuspidata
Globicephala melas
Glycera lapidum
Glyceridae
Glyptocephalus cynoglossu
Glyptocephalus cynoglossus
Gnathiidae
Gnathostomata
Gobiidae
Gonatus steenstrupi
Goniada
Goniada maculata
Goniodoma
Goniodoris nodosa
Gonocerca crassa
Gonocerca phycidis
Gonothyraea loveni
Gonyaulax spinifera
Gorgonocephalus 
Goussia gadi
Gracilaria
Gracilaria tikvahiae
Gracilechinus acutus
Grafilla buccinicola
Grammatophora marina
Grapsus albolineatus
Grillotia (Grillotia) erinaceus
Grillotia erinaceus
Guernea coalita
Gymnocanthus tricuspis
Gymnodinioides inkystans
Gymnodinium
Haematopus bachmani
Haematopus palliatus palliatus
Haemulon plumierii
Halecium
Halichoeres bivittatus
Halichoerus grypus
Halichondria
Halichondria panicea
Haliclona oculata
Haliotis tuberculata
Halisarca dujardini
Halocynthia pyriformis
Halopteris catharina
Hancockia uncinata
Haploops
Haplosporidium nelsoni
Harmothoe imbricata
Harpacticoida
Harpacticus chelifer
Harpagifer georgianus
Haustoriidae
Hedophyllum sessile
Heliocidaris crassispina
helminths
Hemiarthrus abdominalis
Hemiaulus hauckii
Hemicentrotus pulcherrimus
Hemigrapsus nudus
Hemigrapsus sanguineus
Hemioniscus balani
Hemitripteridae
Hemitripterus americanus
Hemiurus levinseni
Henricia sanguinolenta
Hermissenda crassicornis
Hero formosa
Hesionidae
Heteranomia squamula
Heterocapsa triquetra
Heterosigma akashiwo
Heterosiphonia japonica
Hexaplex trunculus
Hiatella
Hiatella arctica
Hildenbrandia rubra
Hippasteria phrygiana
Hippocampus abdominalis
Hippocampus erectus
Hippocampus guttulatus
Hippoglossina oblonga
Hippoglossoides platessa
Hippoglossoides platessoide
Hippoglossoides platessoides
Hippoglossoides platessoides 
Hippoglossus hippoglossus
Hippolytidae
Hippomedon
Hippomedon serratus
Hippothoa hyalina
Hirudinea
Histrionicus histrionicus
Holothuroidea
Homarus americanus
Homo sapiens
Homo sapiens 
Hoplocarida
Hormathia nodosa
Hyadesia fusca
Hyale plumulosa
Hyalophysa chattoni
Hyas 
Hyas araneus
Hyas coarctatus
Hydrallmania falcata
Hydroidolina
Hydrozoa
Hymedesmia (Stylopus) coriacea
Hymedesmia (Stylopus) dermata
Hymedesmia (Stylopus) hibernica
Hymedesmia (Stylopus) primitiva
Hyperia galba
Hyperiidae
Hyperoche
Hyperoplus immaculatus
Hyperoplus lanceolatus
Hypnea
Hypocreales
Hypomesus transpacificu
Hypsoblennius hentz
Hysterothylacium
Hysterothylacium aduncum
Ichthyophonus
Ichthyophonus haferi
Ichthyophonus irregularis
Ictalurus furcatus
Ictalurus punctatus 
Idmonea atlantica
Idotea
Idotea balthica
Idotea baltica
Idotea chelipes
Idotea emarginata
Idotea granulosa
Idotea neglecta
Illex illecebrosus
Ilyanassa trivittata
Insecta
Iophon hyndmani
