sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,Paper ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Littorina saxatilis,Clathromorphum circumscriptum,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Clathromorphum circumscriptum,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:8767970,Plantae | Rhodophyta | Florideophyceae | Corallinales | Hapalidiaceae | Clathromorphum | Clathromorphum circumscriptum,NA,NA,NA,NA,NA
Littorina saxatilis,Colpomenia peregrina,Intertidal,Both,NA,NA,Littorina saxatilis,eats,Colpomenia peregrina,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,ALATaxon:NZOR-6-4858,Chromista | Ochrophyta | Phaeophyceae | Ectocarpales | Scytosiphonaceae | Colpomenia | Colpomenia peregrina,NA,NA,NA,NA,NA
Littorina saxatilis,Corallina officinalis,Intertidal,Both,NA,NA,Littorina saxatilis,eats,Corallina officinalis,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:968017,Plantae | Biliphyta | Rhodophyta | Eurhodophytina | Florideophyceae | Corallinophycidae | Corallinales | Corallinaceae | Corallina | Corallina officinalis,NA,NA,NA,NA,NA
Littorina saxatilis,Desmarestia aculeata,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Desmarestia aculeata,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,FBC:SLB:SpecCode:118219,Phaeophyceae | Desmarestiales | Desmarestiaceae | Desmarestia | Desmarestia aculeata,NA,NA,NA,NA,NA
Littorina saxatilis,Desmarestia viridis,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Desmarestia viridis,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:5423348,Chromista | Ochrophyta | Phaeophyceae | Desmarestiales | Desmarestiaceae | Desmarestia | Desmarestia viridis,NA,NA,NA,NA,NA
Littorina saxatilis,Fucus,Intertidal,Intertidal,NA,NA,Littorina saxatilis,eats,Fucus,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:9836,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus,NA,NA,NA,NA,NA
Littorina saxatilis,Fucus distichus,Intertidal,Intertidal,NA,NA,Littorina saxatilis,eats,Fucus distichus,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,FBC:SLB:SpecCode:119259,Phaeophyceae | Fucales | Fucaceae | Fucus | Fucus distichus,NA,NA,NA,NA,NA
Littorina saxatilis,Fucus vesiculosus,Intertidal,Intertidal,NA,NA,Littorina saxatilis,eats,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:893114,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus | Fucus vesiculosus,NA,NA,NA,NA,NA
Littorina saxatilis,Laminaria digitata,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Laminaria digitata,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:919354,Chromista | Chromista | Phaeophyta | Phaeophyceae | Laminariales | Laminariaceae | Laminaria | Laminaria digitata,NA,NA,NA,NA,NA
Littorina saxatilis,Palmaria palmata,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Palmaria palmata,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:968088,Plantae | Biliphyta | Rhodophyta | Eurhodophytina | Florideophyceae | Nemaliophycidae | Palmariales | Palmariaceae | Palmaria | Palmaria palmata,NA,NA,NA,NA,NA
Littorina saxatilis,Pholis gunnellus,Intertidal,Subtidal,NA,NA,Littorina saxatilis,preyed upon by,Pholis gunnellus,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL_V2:212353,Animalia | Chordata | Actinopterygii | Perciformes | Pholidae | Pholis | Pholis gunnellus,NA,NA,NA,NA,NA
Littorina saxatilis,Phycodrys rubens,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Phycodrys rubens,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:9087373,Plantae | Rhodophyta | Florideophyceae | Ceramiales | Delesseriaceae | Phycodrys | Phycodrys rubens,NA,NA,NA,NA,NA
Littorina saxatilis,Saccharina latissima,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Saccharina latissima,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,FBC:SLB:SpecCode:155096,Phaeophyceae | Laminariales | Laminariaceae | Saccharina | Saccharina latissima,NA,NA,NA,NA,NA
Littorina saxatilis,Saccorhiza dermatodea,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Saccorhiza dermatodea,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:5422621,Chromista | Ochrophyta | Phaeophyceae | Tilopteridales | Phyllariaceae | Saccorhiza | Saccorhiza dermatodea,NA,NA,NA,NA,NA
Littorina saxatilis,Ulvaria,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Ulvaria obscura,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:7716234,Plantae | Chlorophyta | Ulvophyceae | Ulvales | Ulvaceae | Ulvaria | Ulvaria obscura,NA,NA,NA,NA,NA
Mastocarpus stellatus,Carcinus maenas,Both,Both,NA,NA,Mastocarpus stellatus,eaten by,Carcinus maenas,NA,NA,NA,NA,NA,NA,NBN:NHMSYS0021060194,Biota | Plantae | Rhodophyta | Florideophyceae | Gigartinales | Phyllophoraceae | Mastocarpus | Mastocarpus stellatus,NA,EOL_V2:128502,Animalia | Arthropoda | Malacostraca | Decapoda | Portunoidea | Portunidae | Carcinus | Carcinus maenas,NA,NA,NA,NA,NA
Mastocarpus stellatus,Carcinus maenas,Both,Both,126,10.1007/s10530-008-9305-3,Mastocarpus stellatus,preyed upon by,Carcinus maenas,Odiorne Point NH,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastocarpus stellatus,Littorina littorea,Both,Intertidal,NA,NA,Mastocarpus stellatus,eaten by,Littorina littorea,NA,NA,NA,NA,NA,NA,NBN:NHMSYS0021060194,Biota | Plantae | Rhodophyta | Florideophyceae | Gigartinales | Phyllophoraceae | Mastocarpus | Mastocarpus stellatus,NA,EOL:619396,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina littorea,NA,NA,NA,NA,NA
Mastocarpus stellatus,Littorina littorea,Both,Intertidal,214,10.1007/s00227-012-1926-5,Mastocarpus stellatus,preyed upon by,Littorina littorea,gernany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastocarpus stellatus,Strongylocentrotus droebachiensis,Both,Both,215,10.1007/BF00351037,Mastocarpus stellatus,preyed upon by,Strongylocentrotus droebachiensis,maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metridium senile,Amphipoda,Both,Both,NA,NA,Metridium senile,preys on,Amphipoda,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:42514,Anthozoa | Actiniaria | Metridiidae | Metridium | Metridium senile,NA,ITIS:93294,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda,NA,NA,NA,NA,NA
Metridium senile,Ciona intestinalis,Both,Subtidal,217,10.1038/srep21179,Metridium senile,eats,Ciona intestinalis,pacific northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus modiolus,Buccinum undatum,Both,Subtidal,40,NA,Modiolus modiolus,preyed upon by,Buccinum undatum,"Nahant, MA",NA,NA,NA,ISBN 10: 340370114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus modiolus,Homarus americanus,Both,Subtidal,NA,NA,Modiolus modiolus,eaten by,Homarus americanus,NA,NA,NA,NA,NA,NA,EOL_V2:451577,Animalia | Mollusca | Bivalvia | Mytiloida | Mytiloidea | Mytilidae | Modiolus | Modiolus modiolus,NA,FBC:SLB:SpecCode:26021,Malacostraca | Decapoda | Nephropidae | Homarus | Homarus americanus,NA,NA,NA,NA,NA
Modiolus modiolus,Homarus americanus,Both,Subtidal,219,10.1007/BF00987629,Modiolus modiolus,preyed upon by,Homarus americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
