sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Asterias rubens,Strongylocentrotus droebachiensis,Subtidal,Both,preys on,2396,https://www.proquest.com/docview/302778412/9AE1C58E2CEA428EPQ/22?accountid=28933,Asterias rubens,Strongylocentrotus droebachiensis,"Logy Bay, Newfoundland, Canada",47.65403916,-52.69646251,May to August 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Tectura testinalis,Subtidal,Intertidal,preys on,2396,https://www.proquest.com/docview/302778412/9AE1C58E2CEA428EPQ/22?accountid=28939,Asterias rubens,Testudinalia testudinalis,"Logy Bay, Newfoundland, Canada",47.65403916,-52.69646251,May to August 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Testudinalia testudinalis,Subtidal,Both,preys on,2396,https://www.proquest.com/docview/302778412/9AE1C58E2CEA428EPQ/22?accountid=28939,Asterias rubens,Testudinalia testudinalis,"Logy Bay, Newfoundland, Canada",47.65403916,-52.69646251,May to August 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Acrosiphonia,Subtidal,Intertidal,eats,NA,NA,Buccinum undatum,Acrosiphonia,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,GBIF:2645300,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,NA,NA,NA,NA
Buccinum undatum,Alaria esculenta,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Alaria esculenta,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,WD:Q967622,| Alaria esculenta,NA,NA,NA,NA,NA
Buccinum undatum,Barnacle,Subtidal,Subtidal,preys on,1215,10.1016/j.palaeo.2015.02.035,Balanus balanus,Buccinum undatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Cancer irroratus,Subtidal,Subtidal,preys on,321,10.1007/BF00350059,Buccinum undatum,Cancer irroratus,Mingan Islands,50.2000129,-63.7801514,1987-1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Chordaria flagelliformis,Subtidal,Intertidal,eats,NA,NA,Buccinum undatum,Chordaria flagelliformis,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,FBC:SLB:SpecCode:113609,Phaeophyceae | Ectocarpales | Chordariaceae | Chordaria | Chordaria flagelliformis,NA,NA,NA,NA,NA
Buccinum undatum,Ciona intestinalis,Subtidal,Subtidal,preys on,167,NA,Buccinum undatum,Ciona intestinalis,Great Bay Estuary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Desmarestia aculeata,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Desmarestia aculeata,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,FBC:SLB:SpecCode:118219,Phaeophyceae | Desmarestiales | Desmarestiaceae | Desmarestia | Desmarestia aculeata,NA,NA,NA,NA,NA
